iter	Passed	Remaining
0	146	146635
1	147	73571
2	148	49225
3	148	37041
4	149	29738
5	150	24853
6	150	21364
7	151	18750
8	151	16715
9	152	15082
10	152	13751
11	153	12642
12	154	11703
13	154	10914
14	155	10216
15	156	9605
16	156	9068
17	157	8587
18	158	8161
19	158	7775
20	159	7426
21	159	7106
22	160	6817
23	161	6552
24	161	6307
25	162	6081
26	162	5870
27	163	5677
28	164	5499
29	164	5329
30	165	5172
31	166	5024
32	166	4886
33	167	4757
34	168	4632
35	168	4515
36	169	4405
37	169	4301
38	170	4201
39	171	4109
40	171	4020
41	172	3936
42	173	3854
43	173	3775
44	174	3701
45	175	3629
46	175	3560
47	176	3495
48	176	3433
49	177	3376
50	178	3320
51	179	3265
52	179	3213
53	180	3161
54	181	3111
55	181	3062
56	182	3015
57	182	2970
58	183	2927
59	184	2885
60	185	2855
61	186	2816
62	186	2780
63	187	2743
64	188	2706
65	188	2671
66	189	2637
67	189	2603
68	190	2570
69	191	2540
70	192	2513
71	192	2483
72	193	2454
73	193	2426
74	194	2399
75	195	2372
76	195	2346
77	196	2320
78	196	2295
79	197	2276
80	199	2260
81	199	2237
82	200	2212
83	200	2190
84	201	2168
85	202	2147
86	202	2126
87	203	2106
88	204	2088
89	204	2070
90	205	2052
91	206	2034
92	206	2016
93	207	1998
94	207	1981
95	208	1963
96	209	1946
97	209	1930
98	210	1917
99	211	1903
100	212	1887
101	212	1872
102	213	1857
103	213	1842
104	214	1828
105	215	1813
106	215	1799
107	216	1786
108	217	1774
109	217	1761
110	218	1748
111	218	1735
112	219	1723
113	220	1710
114	220	1698
115	221	1686
116	221	1673
117	222	1662
118	222	1650
119	223	1639
120	224	1629
121	224	1618
122	225	1607
123	226	1596
124	226	1586
125	227	1576
126	227	1565
127	228	1555
128	229	1546
129	229	1537
130	230	1527
131	230	1517
132	231	1508
133	232	1499
134	232	1490
135	233	1481
136	233	1472
137	234	1464
138	235	1456
139	235	1448
140	236	1439
141	236	1430
142	237	1422
143	238	1414
144	238	1406
145	239	1398
146	239	1390
147	240	1383
148	240	1375
149	241	1369
150	242	1362
151	242	1355
152	243	1347
153	244	1341
154	244	1334
155	245	1327
156	245	1320
157	246	1314
158	247	1307
159	247	1301
160	248	1293
161	248	1287
162	249	1281
163	250	1275
164	250	1268
165	251	1262
166	251	1256
167	252	1250
168	253	1244
169	253	1238
170	254	1232
171	254	1227
172	255	1221
173	256	1216
174	256	1210
175	257	1204
176	257	1199
177	258	1193
178	259	1188
179	259	1183
180	260	1177
181	261	1173
182	261	1168
183	262	1163
184	262	1158
185	263	1152
186	263	1147
187	264	1142
188	265	1137
189	265	1132
190	266	1127
191	266	1123
192	267	1118
193	268	1113
194	268	1109
195	269	1104
196	269	1099
197	270	1095
198	271	1091
199	271	1087
200	272	1082
201	272	1078
202	273	1074
203	274	1069
204	274	1065
205	275	1061
206	275	1057
207	276	1053
208	277	1048
209	277	1044
210	278	1040
211	279	1037
212	279	1033
213	280	1029
214	280	1025
215	281	1021
216	282	1017
217	282	1013
218	283	1010
219	283	1006
220	284	1002
221	285	999
222	285	995
223	286	991
224	286	988
225	287	984
226	288	981
227	288	977
228	289	974
229	289	970
230	290	966
231	291	963
232	291	960
233	292	957
234	293	953
235	293	950
236	294	947
237	294	944
238	295	940
239	295	937
240	296	934
241	297	930
242	297	927
243	298	924
244	298	921
245	299	917
246	300	914
247	300	911
248	301	908
249	301	905
250	302	902
251	302	899
252	303	895
253	304	892
254	304	890
255	305	887
256	306	884
257	306	881
258	307	878
259	307	876
260	308	873
261	308	870
262	309	867
263	310	864
264	310	861
265	311	858
266	311	855
267	312	852
268	312	850
269	313	847
270	314	845
271	314	842
272	315	840
273	316	837
274	316	834
275	317	832
276	317	829
277	318	826
278	319	824
279	319	821
280	320	819
281	320	816
282	321	814
283	321	811
284	322	809
285	323	806
286	323	804
287	324	801
288	324	798
289	325	796
290	325	793
291	326	791
292	326	788
293	327	786
294	327	783
295	328	781
296	329	778
297	329	776
298	330	774
299	330	772
300	331	769
301	332	767
302	332	765
303	333	763
304	333	760
305	334	758
306	335	756
307	335	754
308	336	752
309	337	750
310	337	748
311	338	745
312	338	743
313	339	741
314	340	739
315	340	737
316	341	735
317	341	733
318	342	731
319	343	729
320	343	727
321	344	725
322	344	722
323	345	721
324	346	718
325	346	716
326	347	714
327	347	712
328	348	711
329	349	709
330	350	707
331	350	705
332	351	703
333	351	701
334	352	699
335	352	697
336	353	695
337	354	693
338	355	692
339	355	690
340	356	688
341	356	686
342	357	684
343	357	682
344	358	680
345	359	678
346	359	677
347	360	675
348	361	673
349	361	671
350	362	670
351	362	668
352	363	666
353	364	664
354	364	662
355	365	661
356	366	659
357	366	657
358	367	656
359	368	654
360	368	652
361	369	650
362	369	649
363	370	647
364	371	645
365	372	644
366	372	642
367	373	640
368	373	639
369	374	637
370	374	635
371	375	634
372	376	632
373	376	630
374	377	629
375	378	627
376	378	625
377	379	624
378	379	622
379	380	620
380	381	619
381	381	617
382	382	616
383	383	614
384	383	613
385	384	611
386	385	610
387	386	609
388	386	607
389	387	606
390	388	604
391	388	602
392	389	601
393	389	599
394	390	598
395	391	596
396	391	595
397	392	593
398	393	592
399	393	590
400	394	589
401	395	587
402	395	586
403	396	585
404	397	583
405	397	581
406	398	580
407	398	578
408	399	577
409	400	575
410	400	574
411	401	572
412	402	571
413	402	570
414	403	568
415	403	567
416	404	565
417	405	564
418	405	562
419	406	561
420	407	559
421	407	558
422	408	557
423	408	555
424	409	554
425	410	552
426	410	551
427	411	549
428	411	548
429	412	546
430	413	545
431	413	544
432	414	542
433	415	541
434	415	539
435	416	538
436	417	537
437	418	536
438	418	534
439	419	533
440	419	532
441	420	530
442	421	529
443	421	528
444	422	527
445	423	525
446	423	524
447	424	523
448	425	521
449	425	520
450	426	519
451	427	517
452	427	516
453	428	515
454	428	513
455	429	512
456	430	511
457	430	509
458	431	508
459	431	507
460	432	505
461	433	504
462	433	503
463	434	501
464	435	500
465	435	499
466	436	498
467	437	497
468	438	496
469	438	494
470	439	493
471	439	492
472	440	490
473	441	489
474	441	488
475	442	487
476	443	485
477	443	484
478	444	483
479	445	482
480	445	481
481	446	479
482	447	478
483	447	477
484	448	476
485	449	474
486	449	473
487	450	472
488	450	471
489	451	469
490	452	468
491	452	467
492	453	466
493	454	465
494	454	463
495	455	462
496	455	461
497	456	460
498	457	458
499	457	457
500	458	456
501	459	455
502	459	454
503	460	452
504	460	451
505	461	450
506	462	449
507	463	448
508	463	447
509	464	446
510	465	445
511	465	443
512	466	442
513	467	441
514	467	440
515	468	439
516	469	438
517	469	437
518	470	436
519	471	434
520	471	433
521	472	432
522	473	431
523	473	430
524	474	429
525	474	428
526	475	426
527	476	425
528	476	424
529	477	423
530	477	422
531	478	421
532	479	419
533	479	418
534	480	417
535	481	416
536	481	415
537	482	414
538	482	413
539	483	411
540	484	410
541	484	409
542	485	408
543	486	407
544	486	406
545	487	405
546	488	404
547	488	403
548	489	402
549	490	401
550	490	400
551	491	398
552	492	397
553	493	396
554	493	395
555	494	394
556	494	393
557	495	392
558	495	391
559	496	390
560	497	389
561	497	387
562	498	386
563	499	385
564	499	384
565	500	383
566	500	382
567	501	381
568	501	380
569	502	379
570	503	378
571	503	377
572	504	376
573	505	375
574	506	374
575	506	373
576	507	372
577	508	370
578	508	369
579	509	368
580	510	367
581	510	366
582	511	365
583	512	364
584	512	363
585	513	362
586	514	361
587	514	360
588	515	359
589	515	358
590	516	357
591	516	356
592	517	355
593	518	354
594	518	353
595	519	352
596	520	351
597	520	350
598	521	349
599	522	348
600	522	346
601	523	345
602	523	344
603	524	343
604	525	342
605	525	341
606	526	340
607	527	339
608	527	338
609	528	337
610	528	336
611	529	335
612	530	334
613	530	333
614	531	332
615	532	331
616	532	330
617	533	329
618	533	328
619	534	327
620	535	326
621	535	325
622	536	324
623	536	323
624	537	322
625	538	321
626	538	320
627	539	319
628	540	318
629	540	317
630	541	316
631	542	315
632	542	314
633	543	313
634	544	312
635	544	311
636	545	310
637	546	309
638	546	308
639	547	307
640	547	306
641	548	305
642	549	304
643	549	303
644	550	302
645	551	302
646	551	301
647	552	300
648	553	299
649	553	298
650	554	297
651	554	296
652	555	295
653	556	294
654	557	293
655	557	292
656	558	291
657	558	290
658	559	289
659	560	288
660	560	287
661	561	286
662	562	285
663	562	284
664	563	283
665	563	282
666	564	281
667	565	280
668	566	280
669	566	279
670	567	278
671	568	277
672	568	276
673	569	275
674	570	274
675	570	273
676	571	272
677	571	271
678	572	270
679	573	269
680	573	268
681	574	267
682	575	266
683	575	266
684	576	265
685	577	264
686	577	263
687	578	262
688	578	261
689	579	260
690	580	259
691	580	258
692	581	257
693	582	256
694	582	255
695	583	254
696	583	253
697	584	252
698	585	251
699	585	251
700	586	250
701	586	249
702	587	248
703	588	247
704	589	246
705	589	245
706	590	244
707	590	243
708	591	242
709	592	241
710	592	240
711	593	239
712	593	239
713	594	238
714	594	237
715	595	236
716	596	235
717	596	234
718	597	233
719	598	232
720	598	231
721	599	230
722	599	229
723	600	228
724	601	228
725	601	227
726	602	226
727	602	225
728	603	224
729	604	223
730	604	222
731	605	221
732	606	220
733	606	219
734	607	219
735	608	218
736	608	217
737	609	216
738	610	215
739	610	214
740	611	213
741	611	212
742	612	211
743	613	211
744	613	210
745	614	209
746	615	208
747	616	207
748	616	206
749	617	205
750	618	204
751	618	204
752	619	203
753	620	202
754	620	201
755	621	200
756	622	199
757	622	198
758	623	197
759	623	197
760	624	196
761	625	195
762	625	194
763	626	193
764	627	192
765	627	191
766	628	190
767	629	190
768	629	189
769	630	188
770	631	187
771	632	186
772	632	185
773	633	184
774	633	184
775	634	183
776	635	182
777	635	181
778	636	180
779	637	179
780	638	178
781	638	178
782	639	177
783	640	176
784	641	175
785	641	174
786	642	173
787	642	172
788	643	172
789	644	171
790	645	170
791	645	169
792	646	168
793	647	167
794	647	167
795	648	166
796	649	165
797	649	164
798	650	163
799	651	162
800	651	161
801	652	161
802	652	160
803	653	159
804	654	158
805	654	157
806	655	156
807	656	155
808	656	155
809	657	154
810	657	153
811	658	152
812	659	151
813	659	150
814	660	149
815	660	149
816	661	148
817	662	147
818	662	146
819	663	145
820	664	144
821	664	143
822	665	143
823	666	142
824	666	141
825	667	140
826	667	139
827	668	138
828	669	138
829	670	137
830	670	136
831	671	135
832	672	134
833	672	133
834	673	133
835	673	132
836	674	131
837	675	130
838	675	129
839	676	128
840	677	128
841	677	127
842	678	126
843	679	125
844	679	124
845	680	123
846	681	123
847	681	122
848	682	121
849	683	120
850	683	119
851	684	118
852	685	118
853	685	117
854	686	116
855	686	115
856	687	114
857	688	113
858	689	113
859	689	112
860	690	111
861	690	110
862	691	109
863	692	108
864	692	108
865	693	107
866	693	106
867	694	105
868	695	104
869	695	103
870	696	103
871	697	102
872	697	101
873	698	100
874	698	99
875	699	99
876	700	98
877	700	97
878	701	96
879	702	95
880	702	94
881	703	94
882	703	93
883	704	92
884	705	91
885	705	90
886	706	89
887	706	89
888	707	88
889	708	87
890	709	86
891	709	85
892	710	85
893	710	84
894	711	83
895	712	82
896	712	81
897	713	81
898	714	80
899	714	79
900	715	78
901	715	77
902	716	76
903	717	76
904	717	75
905	718	74
906	719	73
907	719	72
908	720	72
909	721	71
910	721	70
911	722	69
912	722	68
913	723	68
914	724	67
915	724	66
916	725	65
917	726	64
918	726	64
919	727	63
920	728	62
921	728	61
922	729	60
923	729	60
924	730	59
925	731	58
926	731	57
927	732	56
928	733	56
929	733	55
930	734	54
931	735	53
932	735	52
933	736	52
934	737	51
935	737	50
936	738	49
937	739	48
938	739	48
939	740	47
940	741	46
941	741	45
942	742	44
943	742	44
944	743	43
945	744	42
946	744	41
947	745	40
948	745	40
949	746	39
950	746	38
951	747	37
952	748	36
953	748	36
954	749	35
955	750	34
956	750	33
957	751	32
958	751	32
959	752	31
960	753	30
961	753	29
962	754	28
963	755	28
964	755	27
965	756	26
966	756	25
967	757	25
968	758	24
969	758	23
970	759	22
971	759	21
972	760	21
973	761	20
974	761	19
975	762	18
976	763	17
977	763	17
978	764	16
979	765	15
980	765	14
981	766	14
982	767	13
983	767	12
984	768	11
985	768	10
986	769	10
987	770	9
988	770	8
989	771	7
990	771	7
991	772	6
992	772	5
993	773	4
994	774	3
995	774	3
996	775	2
997	776	1
998	777	0
999	777	0
